timestamp;[Current com­pressor fre­quency][Hz][41778];
2025-11-08T02:35:56+00:00;32;
2025-11-08T02:38:56+00:00;30;
2025-11-08T02:41:56+00:00;29;
2025-11-08T02:43:57+00:00;28;
2025-11-08T02:51:17+00:00;27;
2025-11-08T02:58:19+00:00;24;
2025-11-08T03:01:18+00:00;23;
2025-11-08T03:08:18+00:00;22;
2025-11-08T03:11:17+00:00;20;
2025-11-08T03:45:41+00:00;22;
2025-11-08T04:00:36+00:00;22;
2025-11-08T04:00:37+00:00;90;
2025-11-08T04:12:40+00:00;84;
2025-11-08T04:23:38+00:00;23;
2025-11-08T04:26:38+00:00;24;
2025-11-08T04:32:38+00:00;26;
2025-11-08T04:40:38+00:00;26;
2025-11-08T04:41:39+00:00;27;
2025-11-08T04:52:59+00:00;26;
2025-11-08T04:58:59+00:00;24;
2025-11-08T05:08:02+00:00;22;
2025-11-08T05:12:01+00:00;21;
2025-11-08T05:37:59+00:00;23;
2025-11-08T05:45:20+00:00;24;
2025-11-08T05:57:20+00:00;22;
2025-11-08T06:06:23+00:00;20;
2025-11-08T06:50:56+00:00;20;
2025-11-08T06:50:57+00:00;90;
2025-11-08T07:19:34+00:00;85;
2025-11-08T07:27:38+00:00;75;
2025-11-08T07:30:15+00:00;20;
2025-11-08T08:32:17+00:00;20;
2025-11-08T08:32:18+00:00;84;
2025-11-08T08:49:24+00:00;1;
2025-11-08T14:01:01+00:00;1;
2025-11-08T14:01:02+00:00;90;
2025-11-08T14:24:59+00:00;84;
2025-11-08T14:32:58+00:00;74;
2025-11-08T14:36:09+00:00;0;
2025-11-08T17:19:50+00:00;0;
2025-11-08T17:19:51+00:00;84;
2025-11-08T17:26:02+00:00;0;
2025-11-08T17:38:07+00:00;0;
2025-11-08T17:38:08+00:00;90;
2025-11-08T18:29:44+00:00;80;
2025-11-08T18:39:20+00:00;70;
2025-11-08T18:42:19+00:00;1;
2025-11-08T19:45:03+00:00;1;
2025-11-08T19:45:04+00:00;20;
2025-11-08T20:01:14+00:00;22;
2025-11-08T20:04:14+00:00;26;
2025-11-08T20:05:14+00:00;26;
2025-11-08T20:07:14+00:00;28;
2025-11-08T20:09:15+00:00;30;
2025-11-08T20:11:14+00:00;32;
2025-11-08T20:12:14+00:00;33;
2025-11-08T20:14:14+00:00;35;
2025-11-08T20:17:14+00:00;38;
2025-11-08T20:19:14+00:00;40;
2025-11-08T20:20:14+00:00;41;
2025-11-08T20:22:14+00:00;43;
2025-11-08T20:24:14+00:00;45;
2025-11-08T20:27:13+00:00;48;
2025-11-08T20:29:13+00:00;50;
2025-11-08T20:32:13+00:00;53;
